sequence,score1,score2,score3,risk,finance,Value,personal,index
492,0.006,203.633199,0,0,0.3,2,0,5
493,4.206,133.215492,0,4,0.55,3,0,5
494,0.005,196.635032,0,0,0.25,2,0,6
495,4.178,192.30151,0,4,0.4,3,10,5
496,3.076,163.559425,0,3,0.8,2,0,4
497,0.021,171.171782,0,0,1.05,3,0,4
498,4.074,158.723217,0,4,1.2,2,10,4
499,0.011,196.565432,0,0,0.55,2,0,5
500,3.066,203.633199,0,3,0.3,2,0,5
501,0.025,163.559425,0,0,0.5,2,3,6
502,0.025,100.684475,0,0,1.25,1,0,4
503,0.035,191.798824,0,0,1,3,3,4
504,3.064,133.215492,0,3,0.2,2,0,6
505,0.017,138.096175,0,0,0.85,2,0,4
506,0.007,196.635032,0,0,0.35,2,0,5
507,0.017,163.559425,0,0,0.85,2,0,4
508,0.008,163.559425,0,0,0.4,2,0,5
509,0.019,89.988846,0,0,0.95,1,0,3
510,0.007,128.379284,0,0,0.35,2,0,6
511,0.02,177.410204,0,0,1,3,0,2
512,3.065,166.221499,0,3,1,3,0,3
513,3.141,126.1922,0,3,1.05,1,0,4
514,3.153,153.088251,0,3,1.65,3,0,4
515,0.003,163.559425,0,0,0.15,3,0,6
516,0.013,163.559425,0,0,0.65,3,0,5
517,0.019,163.559425,0,0,0.95,2,0,4
518,0.014,131.028408,0,0,0.7,2,0,4
519,0.035,118.919831,0,0,1.75,2,0,5
520,0.015,158.723217,0,0,0.75,3,0,6
521,0.012,133.829682,0,0,0.6,3,0,4
522,0.024,119.05438,0,0,1.2,3,0,6
523,0.025,95.848267,0,0,1.25,1,0,3
524,0.013,191.798824,0,0,0.65,3,0,5
525,0.022,164.922626,0,0,1.1,1,0,4
526,0.021,100.684475,0,0,1.05,1,0,4
527,0.006,163.559425,0,0,0.3,5,0,6
528,0.012,163.559425,0,0,0.6,1,0,5
529,0.002,133.215492,0,0,0.1,3,0,6
530,0.005,163.559425,0,0,0.25,2,0,5
531,3.065,196.635032,0,3,0.25,2,0,5
532,0.012,135.377451,0,0,0.6,3,0,5
533,0.019,133.259967,0,0,0.95,1,0,4
534,0.006,166.221499,0,0,0.3,2,0,5
535,4.125,125.168987,0,4,0.75,1,10,4
536,0.018,128.309684,0,0,0.9,2,0,4
537,3.132,133.215492,0,3,0.6,2,0,4
538,0.026,91.942127,0,0,0.55,1,3,4
539,0.022,182.47392,0,0,1.1,2,0,6
540,0.012,166.291099,0,0,0.6,1,0,6
541,0.017,131.028408,0,0,0.85,1,0,3
542,0.033,148.2939,0,0,0.9,1,3,4
543,0.013,157.630404,0,0,0.65,2,0,5
544,0.002,196.635032,0,0,0.1,1,0,6
545,0.002,133.215492,0,0,0.1,3,0,6
546,0.008,196.635032,0,0,0.4,2,0,5
547,0.017,163.559425,0,0,0.85,3,0,4
548,0.017,196.635032,0,0,0.85,2,0,4
549,0.024,92.09338,0,0,1.2,1,0,3
550,0.017,163.559425,0,0,0.85,1,0,5
551,0.163,98.977222,0,0,8.15,2,0,-1
552,0.011,163.559425,0,0,0.55,2,0,5
553,0.019,133.215492,0,0,0.95,2,0,4
554,0.015,164.104015,0,0,0.75,1,0,4
555,3.068,92.317835,0,3,1.15,1,0,4
